NAME_2,NAME_3,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long
Padang Pariaman,nansabaris,24.415,58.242,29.48,19.238,Unknown,0.601,0.277,29.775,2023,9,1,-0.653,100.1911
Donggala,balaesangtanjung,22.664,39.716,21.23,168.378,Unknown,0.511,5.037,37.166,2023,3,1,-0.067,119.6996
bogor,tamansari,87.821,162.953,30.0,715.585,Tree cover,0.556,6.987,38.084,2020,11,1,-6.6564,106.7458
tangerang,rajeg,19.54,29.6,31.82,8.659,Cropland,0.499,0.105,37.658,2022,6,0,-6.1163,106.5103
Pinrang,duampanua,46.47,79.996,30.15,83.127,Tree Cover,0.633,2.004,35.402,2020,1,1,-3.6466,119.5573
Kebumen,kuwarasan,160.957,217.518,30.72,13.419,Unknown,0.395,0.325,37.264,2024,11,1,-7.6593,109.5118
Kota Serang,taktakan,29.549,79.804,29.64,99.867,Tree Cover,0.675,1.431,35.397,2021,9,1,-6.1311,106.1076
tangerang,sindangjaya,37.942,59.379,33.22,17.038,Tree cover,0.605,0.132,38.821,2020,3,0,-6.1689,106.4989
Grobogan,grobogan,51.456,125.712,29.07,116.136,Unknown,0.505,1.942,39.874,2024,3,1,-7.0143,110.9568
Demak,gajah,63.22,134.369,31.43,7.46,Unknown,0.41,0.062,39.492,2024,2,1,-6.9007,110.747
bogor,rumpin,5.803,6.66,32.46,152.23,Tree cover,0.653,1.981,22.3,2023,9,0,-6.4596,106.6311
bogor,cisarua,71.787,140.153,27.38,1216.752,Tree cover,0.479,7.714,38.223,2022,10,1,-6.6985,106.9552
bogor,cigombong,122.713,201.37,28.54,688.475,Tree cover,0.556,4.624,38.687,2022,11,0,-6.7461,106.8128
Karawang,tegalwaru,117.829,144.316,29.84,272.577,Tree Cover,0.673,4.904,36.381,2024,11,1,-6.522,107.243
kota bogor,bogortimur,57.163,107.803,36.06,322.856,Built-up,0.371,1.429,39.14,2021,12,0,-6.6207,106.8264
Sambas,sajad,58.83,136.683,28.64,16.827,Tree Cover,0.737,0.233,34.129,2022,12,1,1.3689,109.4159
Langkat,wampu,54.57,79.736,31.12,37.765,Unknown,0.78,0.394,34.869,2022,11,1,3.7002,98.34
Sumbawa,alasbarat,78.949,146.856,26.36,131.685,Tree Cover,0.486,3.339,31.559,2023,2,1,-8.5349,116.9386
Kota Tegal,tegaltimur,23.226,59.114,34.63,4.457,Unknown,0.329,0.105,34.854,2022,7,1,-6.8639,109.1445
bogor,jasinga,69.391,140.416,29.49,163.412,Tree cover,0.771,1.993,35.651,2021,9,1,-6.4806,106.4559
kota tangerang,batuceper,24.127,38.706,35.96,10.341,Built-up,0.276,0.068,36.835,2021,5,0,-6.1618,106.6703
bogor,cigombong,62.615,106.969,27.99,688.475,Tree cover,0.609,4.624,38.631,2024,3,0,-6.7461,106.8128
Pati,jakenan,43.015,119.158,29.88,11.881,Unknown,0.418,0.132,37.297,2024,3,1,-6.7638,111.1305
jakarta pusat,joharbaru,43.598,67.423,37.65,8.969,Built-up,0.165,0.076,38.454,2024,2,0,-6.1821,106.8546
bekasi,tambunselatan,5.299,9.779,39.93,20.065,Built-up,0.297,0.152,19.625,2023,10,0,-6.2571,107.0543
Lebak,cimarga,44.581,75.558,25.82,79.069,Tree Cover,0.432,0.893,37.693,2020,12,1,-6.4532,106.222
Grobogan,tanggungharjo,71.143,183.199,32.57,34.22,Unknown,0.645,0.746,42.018,2020,1,1,-7.1033,110.6165
tangerang selatan,ciputat,25.899,38.454,38.25,44.431,Built-up,0.384,0.212,41.194,2021,3,0,-6.3082,106.7277
Wajo,keera,72.986,146.744,26.3,70.023,Tree Cover,0.653,1.228,33.875,2024,5,1,-3.8151,120.2878
Kota Pekalongan,pekalonganbarat,92.753,143.444,32.059999999999995,7.589,Unknown,0.194,0.082,39.278,2021,1,1,-6.8965,109.6602
Karawang,batujaya,37.609,103.46,30.81,2.773,Unknown,0.296,0.054,37.67,2023,1,1,-6.0511,107.1953
kota bogor,bogorselatan,81.453,155.272,32.56,368.391,Tree cover,0.622,1.807,38.469,2020,5,0,-6.6447,106.8135
Kupang,sulamu,50.312,102.172,30.16,109.462,Unknown,0.643,2.901,27.855,2022,12,1,-9.9917,123.7167
tangerang selatan,pamulang,18.203,44.892,37.87,59.039,Built-up,0.362,0.233,39.847,2023,12,0,-6.3395,106.7391
Balangan,halong,55.382,72.632,27.77,329.83,Unknown,0.696,3.938,36.161,2021,11,1,-2.2262,115.7404
Balangan,halong,57.0,88.525,26.63,329.83,Unknown,0.604,3.938,34.827,2022,9,1,-2.2262,115.7404
jakarta pusat,gambir,72.322,128.435,39.51,7.605,Built-up,0.127,0.061,37.605,2020,1,0,-6.1715,106.8181
Barito Utara,tewehtengah,48.462,99.173,26.58,84.93,Unknown,0.665,0.723,33.685,2021,5,1,-1.003,114.804
jakarta pusat,senen,15.729,33.063,36.35,10.007,Built-up,0.175,0.092,35.747,2022,8,0,-6.1842,106.8459
Minahasa Utara,kalawat,62.673,116.417,30.08,124.542,Tree Cover,0.757,1.53,29.538,2023,1,1,1.451,124.9291
Karawang,cilebar,61.938,91.485,27.63,1.407,Unknown,0.357,0.048,35.928,2020,1,1,-6.133,107.4132
Halmahera Selatan,bacan,37.164,77.99,26.34,214.589,Unknown,0.789,4.158,31.591,2024,1,1,-0.5571,127.4439
kota bogor,bogorutara,61.007,113.567,25.22,209.387,Built-up,0.405,0.831,39.583,2020,1,0,-6.5708,106.8196
bogor,rumpin,37.519,75.952,29.01,152.23,Tree cover,0.759,1.981,38.952,2021,6,0,-6.4596,106.6311
kota bekasi,pondokgede,33.737,74.297,39.0,24.987,Built-up,0.283,0.142,41.51,2021,12,0,-6.2691,106.9299
Kota Tegal,margadana,32.665,65.035,29.95,3.214,Unknown,0.389,0.087,36.674,2023,3,1,-6.8736,109.0962
kota bekasi,bekasiselatan,8.385,14.147,36.37,22.99,Built-up,0.361,0.103,37.986,2020,6,0,-6.2582,106.9778
Aceh Jaya,setiabakti,51.633,116.674,27.05,368.43,Unknown,0.875,3.806,36.089,2022,1,1,4.8045,95.6418
tangerang selatan,serpongutara,32.307,43.769,38.35,26.59,Built-up,0.377,0.18,37.662,2020,10,0,-6.2536,106.663
jakarta barat,kembangan,20.047,48.221,37.81,10.349,Built-up,0.367,0.126,37.324,2021,4,0,-6.1982,106.7418
Grobogan,klambu,57.995,110.286,29.96,54.003,Unknown,0.587,1.561,40.029,2022,1,1,-7.0015,110.8124
jakarta selatan,pesanggrahan,42.224,77.59,37.77,23.82,Built-up,0.336,0.178,39.475,2024,3,0,-6.2504,106.7587
kota tangerang,karangtengah,40.256,71.231,36.72,13.076,Built-up,0.335,0.156,38.154,2024,3,0,-6.2101,106.7097
Landak,kualabehe,69.802,124.092,28.58,98.334,Unknown,0.659,1.052,38.759,2021,1,1,0.6325,109.9521
kota bogor,tanahsareal,33.785,103.188,32.5,184.459,Built-up,0.437,0.639,33.913,2024,7,0,-6.5468,106.7855
Demak,mranggen,60.806,85.701,30.83,30.864,Unknown,0.554,0.495,42.433,2023,2,1,-7.038,110.5183
jakarta selatan,kebayoranbaru,25.264,56.862,40.14,22.272,Built-up,0.296,0.16,38.524,2020,11,0,-6.2447,106.8014
tangerang selatan,setu,45.933,81.631,34.06,54.164,Tree cover,0.537,0.359,41.478,2024,3,0,-6.3637,107.0373
tangerang,gunungkaler,35.12,89.748,29.5,8.194,Cropland,0.573,0.068,34.278,2022,8,0,-6.0957,106.3742
Kota Medan,medanmaimun,48.288,87.703,41.91,30.586,Unknown,0.311,0.096,34.744,2023,11,1,3.5678,98.6835
depok,cilodong,9.667,12.846,35.64,106.017,Built-up,0.374,0.295,34.05,2023,8,0,-6.4303,106.8379
Bungo,tanahtumbuh,59.692,73.499,26.45,131.797,Tree Cover,0.589,0.797,34.207,2021,1,1,-1.4822,101.88
Pasuruan,grati,58.49,71.364,28.92,37.671,Tree Cover,0.653,0.756,32.094,2020,2,1,-7.7381,113.0025
kota tangerang,karangtengah,23.523,49.225,40.61,13.076,Built-up,0.315,0.156,34.281,2020,9,0,-6.2101,106.7097
bekasi,cabangbungin,82.497,132.052,30.16,3.757,Cropland,0.09,0.053,39.649,2021,2,1,-6.0781,107.1363
Aceh Tenggara,darulhasanah,57.92,85.597,18.96,1672.928,Unknown,0.169,10.321,39.176,2022,10,1,3.522,97.5635
jakarta selatan,tebet,1.345,1.721,38.99,17.948,Built-up,0.252,0.137,30.196,2023,9,0,-6.2289,106.8509
Lampung Selatan,penengahan,32.139,55.544,27.45,192.786,Unknown,0.714,3.689,41.35,2024,2,1,-5.7498,105.6878
Kendal,cepiring,45.411,112.083,34.07,8.435,Unknown,0.45,0.105,42.06725,2022,12,1,-6.9087,110.1526
Kota Medan,medanselayang,42.092,84.969,41.91,34.843,Unknown,0.37,0.212,34.514,2024,11,1,3.5526,98.6339
kota bogor,bogortimur,49.549,124.02,32.73,322.856,Built-up,0.515,1.429,35.454,2022,7,0,-6.6207,106.8264
Brebes,wanasari,7.762,17.282,31.55,6.439,Unknown,0.46,0.085,34.793,2020,6,1,-6.8751,109.0067
